
っうぁ,wwha
っうぃ,wwi
っうぇ,wwe
っうぉ,wwho
うぁ,wha
うぃ,wi
うぇ,we
うぉ,who
あ,a
い,i
う,u
え,e
お,o

きゃ,kya
きぃ,kyi
きゅ,kyu
きぇ,kye
きょ,kyo
くぁ,qa
くぃ,qi
くぅ,qwu
くぇ,qe
くぉ,qo
くゃ,qya
くゅ,qyu
くょ,qyo
っか,kka
っき,kki
っく,kku
っけ,kke
っこ,kko
っきゃ,kkya
っきぃ,kkyi
っきゅ,kkyu
っきぇ,kkye
っきょ,kkyo
か,ka
き,ki
く,ku
け,ke
こ,ko
ぎゃ,gya
ぎぃ,gyi
ぎゅ,gyu
ぎぇ,gye
ぎょ,gyo
ぐぁ,gwa
ぐぃ,gwi
ぐぅ,gwu
ぐぇ,gwe
ぐぉ,gwo
っが,gga
っぎ,ggi
っぐ,ggu
っげ,gge
っご,ggo
っぐぁ,ggwa
っぐぃ,ggwi
っぐぅ,ggwu
っぐぇ,ggwe
っぐぉ,ggwo
っヵ,llka
っヶ,llke
が,ga
ぎ,gi
ぐ,gu
げ,ge
ご,go
ヵ,lka
ヶ,lke


っしゃ,ssya
っしぃ,ssyi
っしゅ,ssyu
っしぇ,ssye
っしょ,ssyo
っすぁ,sswa
っすぃ,sswi
っすぅ,sswu
っすぇ,sswe
っすぉ,sswo
しゃ,sya
しぃ,syi
しゅ,syu
しぇ,sye
しょ,syo
すぁ,swa
すぃ,swi
すぅ,swu
すぇ,swe
すぉ,swo
っそ,sso
っさ,ssa
っし,ssi
っす,ssu
っせ,sse
っそ,sso
さ,sa
し,si
す,su
せ,se
っじゃ,jja
っじぃ,zzyi
っじゅ,jju
っじぇ,jje
っじょ,jjo
じゃ,ja
じぃ,zyi
じゅ,ju
じぇ,je
じょ,jo
っざ,zza
っじ,zzi
っず,zzu
っぜ,zze
っぞ,zzo
ざ,za
じ,zi
ず,zu
ぜ,ze
ぞ,zo

っちゃ,ttya
っちぃ,ttyi
っちゅ,ttyu
っちぇ,ttye
っちょ,ttyo
っつゃ,ttsa
っつぃ,ttsi
っつぇ,ttse
っつょ,ttso
ってゃ,ttha
ってぃ,tthi
ってゅ,tthu
ってぇ,tthe
ってょ,ttho
っとゃ,ttwa
っとぃ,ttwi
っとゅ,ttwu
っとぇ,ttwe
っとょ,ttwo
ちゃ,tya
ちぃ,tyi
ちゅ,tyu
ちぇ,tye
ちょ,tyo
つゃ,tsa
つぃ,tsi
つぇ,tse
つょ,tso
てゃ,tha
てぃ,thi
てゅ,thu
てぇ,the
てょ,tho
とゃ,twa
とぃ,twi
とゅ,twu
とぇ,twe
とょ,two

った,tta
っち,tti
っつ,ttu
って,tte
っと,tto
た,ta
ち,ti
つ,tu
て,te
と,to

っぢゃ,ddya
っぢぃ,ddyi
っぢゅ,ddyu
っぢぇ,ddye
っぢょ,ddyo
っでゃ,ddha
っでぃ,ddhi
っでゅ,ddhu
っでぇ,ddhe
っでょ,ddho
っどゃ,ddwa
っどぃ,ddwi
っどゅ,ddwu
っどぇ,ddwe
っどょ,ddwo
ぢゃ,dya
ぢぃ,dyi
ぢゅ,dyu
ぢぇ,dye
ぢょ,dyo
でゃ,dha
でぃ,dhi
でゅ,dhu
でぇ,dhe
でょ,dho
どゃ,dwa
どぃ,dwi
どゅ,dwu
どぇ,dwe
どょ,dwo

っだ,dda
っぢ,ddi
っづ,ddu
っで,dde
っど,ddo
だ,da
ぢ,di
づ,du
で,de
ど,do

な,na
に,ni
ぬ,nu
ね,ne
の,no
にゃ,nya
にぃ,nyi
にゅ,nyu
にぇ,nye
にょ,nyo
っな,nna
っに,nni
っぬ,nnu
っね,nne
っの,nno
っにゃ,nnya
っにぃ,nnyi
っにゅ,nnyu
っにぇ,nnye
っにょ,nnyo


っひゃ,hhya
っひぃ,hhyi
っひゅ,hhyu
っひぇ,hhye
っひょ,hhyo
っふぁ,ffwa
っふぃ,ffi
っふぅ,ffwu
っふぇ,ffe
っふぉ,ffo
っふゃ,ffya
っふゅ,ffyu
っふょ,ffyo
ひゃ,hya
ひぃ,hyi
ひゅ,hyu
ひぇ,hye
ひょ,hyo
ふぁ,fwa
ふぃ,fi
ふぅ,fwu
ふぇ,fe
ふぉ,fo
ふゃ,fya
ふゅ,fyu
ふょ,fyo
っは,hha
っひ,hhi
っふ,hhu
っへ,hhe
っほ,hho
は,ha
ひ,hi
ふ,hu
へ,he
ほ,ho

っヴぁ,vva
っヴぃ,vvi
っヴぇ,vve
っヴぉ,vvo
っヴゃ,vvya
っヴゅ,vvyu
っヴょ,vvyo
っヴ,vvu
ヴゃ,vya
ヴゅ,vyu
ヴょ,vyo
ヴぁ,va
ヴぃ,vi
ヴぇ,ve
ヴぉ,vo
ヴ,vu

っびゃ,bbya
っびぃ,bbyi
っびゅ,bbyu
っびぇ,bbye
っびょ,bbyo
びゃ,bya
びぃ,byi
びゅ,byu
びぇ,bye
びょ,byo
っば,bba
っび,bbi
っぶ,bbu
っべ,bbe
っぼ,bbo
ば,ba
び,bi
ぶ,bu
べ,be
ぼ,bo

っぴゃ,ppya
っぴぃ,ppyi
っぴゅ,ppyu
っぴぇ,ppye
っぴょ,ppyo
ぴゃ,pya
ぴぃ,pyi
ぴゅ,pyu
ぴぇ,pye
ぴょ,pyo
っぱ,ppa
っぴ,ppi
っぷ,ppu
っぺ,ppe
っぽ,ppo
ぱ,pa
ぴ,pi
ぷ,pu
ぺ,pe
ぽ,po

っみゃ,mmya
っみぃ,mmyi
っみゅ,mmyu
っみぇ,mmye
っみょ,mmyo
みゃ,mya
みぃ,myi
みゅ,myu
みぇ,mye
みょ,myo
っま,mma
っみ,mmi
っむ,mmu
っめ,mme
っも,mmo
ま,ma
み,mi
む,mu
め,me
も,mo

っゃ,llya
っゅ,llyu
っょ,llyo
っや,yya
っゆ,yyu
っよ,yyo
や,ya
ゆ,yu
よ,yo

っりゃ,rrya
っりぃ,rryi
っりゅ,rryu
っりぇ,rrye
っりょ,rryo
りゃ,rya
りぃ,ryi
りゅ,ryu
りぇ,rye
りょ,ryo
っら,rra
っり,rri
っる,rru
っれ,rre
っろ,rro
ら,ra
り,ri
る,ru
れ,re
ろ,ro

っわ,wwa
っを,wwo
わ,wa
を,wo
ん,nn

ぁ,la
ぃ,li
ぅ,lu
ぇ,le
ぉ,lo
ゃ,lya
ゅ,lyu
ょ,lyo
っ,ltu
